Cabor,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Gold,Bronze,Medal,Total,Gold,Bronze,Medal,Total,Gold,Bronze,Medal,Total,Gold,Bronze,Medal,Total
Golf,2,0,2,4,0,0,1,1,0,1,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judo,7,1,4,12,0,2,9,11,0,0,6,6,2,3,2,7,1,1,2,4,3,7,3,13,4,4,3,11,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
Karate,2,0,4,6,2,7,7,16,7,3,5,15,1,1,1,3,0,0,0,0,3,3,7,13,2,2,6,10,0,0,3,3,0,0,0,0,0,1,1,2,0,0,0,0
Kenpo,0,0,0,0,7,7,3,17,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,10,6,0,7,13,0,4,7,11,0,0,3,3,0,0,0,0,2,3,3,8
Muay,4,2,3,9,0,1,3,4,2,0,3,5,1,2,0,3,0,0,0,0,2,4,4,10,4,3,3,10,1,2,6,9,0,0,0,0,0,0,0,0,0,0,0,0
Pencak silat,2,1,8,11,4,4,3,11,2,1,4,7,0,0,2,2,1,0,2,3,3,5,1,9,3,4,3,10,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Petanque,3,4,2,9,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,2,8,10,3,0,1,4,4,1,3,8,1,4,3,8,0,0,0,0,0,0,0,0
Rowing,0,1,2,3,5,1,3,9,0,0,0,0,1,2,0,3,1,0,0,1,1,3,2,6,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sailing,4,5,2,11,0,0,1,1,2,3,3,8,0,2,0,2,5,2,5,12,0,0,0,0,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sepak takraw,6,0,0,6,0,2,4,6,0,1,2,3,0,0,1,1,0,0,1,1,0,1,2,3,4,4,2,10,0,2,3,5,0,0,2,2,0,0,2,2,0,0,0,0
Shooting,2,2,2,6,0,0,0,0,1,3,4,8,0,0,0,0,1,1,4,6,7,1,2,10,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swimming,7,9,7,23,4,6,4,14,4,4,4,12,0,0,4,4,12,8,10,30,5,5,2,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Table tennis,0,2,0,2,0,0,0,0,0,0,3,3,0,0,1,1,4,1,1,6,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taekwondo,6,5,4,15,0,3,7,10,0,1,5,6,4,4,6,14,0,1,0,1,5,4,3,12,4,1,6,11,1,0,4,5,1,2,2,5,0,0,1,1,0,0,1,1
Traditional Boat Race,1,11,4,16,2,5,10,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,1,2,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Volleyball,2,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vovinam,0,0,0,0,2,2,5,9,0,0,0,0,0,0,0,0,0,0,0,0,6,10,2,18,6,2,6,14,2,3,4,9,2,1,7,10,0,0,0,0,0,0,0,0
Water polo,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weightlifting,6,1,2,9,3,2,2,7,0,0,2,2,0,1,0,1,0,0,0,0,1,5,3,9,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wrestling,1,7,1,9,2,5,3,10,0,0,0,0,0,2,4,6,0,0,0,0,10,0,2,12,3,3,6,12,1,2,5,8,4,2,4,10,0,0,0,0,0,0,0,0
Wushu,0,2,1,3,4,3,6,13,3,5,6,14,3,3,2,8,1,2,2,5,5,3,4,12,5,5,5,15,1,0,1,2,0,0,1,1,1,0,0,1,0,0,0,0

